"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2022";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"    16.3";"    33.0"
"18 tot 65 jaar";"Waarde";"2022";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"    16.7";"    32.5"
"18 tot 65 jaar";"Waarde";"2022";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"    15.6";"    30.8"
"18 tot 65 jaar";"Waarde";"2022";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"    17.7";"    34.2"
"18 tot 65 jaar";"Waarde";"2022";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"    17.7";"    34.1"
"18 tot 65 jaar";"Waarde";"2022";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"    16.3";"    29.5"
"18 tot 65 jaar";"Waarde";"2022";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"    15.7";"    31.7"
"18 tot 65 jaar";"Waarde";"2022";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"    16.6";"    31.0"
"18 tot 65 jaar";"Waarde";"2022";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2022";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"    16.4";"    30.9"
"18 tot 65 jaar";"Waarde";"2022";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"    16.9";"    33.1"
"18 tot 65 jaar";"Waarde";"2022";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"    17.2";"    30.5"
"18 tot 65 jaar";"Waarde";"2022";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"    16.5";"    30.7"
"18 tot 65 jaar";"Waarde";"2022";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"    16.4";"    30.4"
"18 tot 65 jaar";"Waarde";"2022";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"    16.6";"    31.5"
"18 tot 65 jaar";"Waarde";"2022";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"    15.5";"    30.2"
"18 tot 65 jaar";"Waarde";"2022";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"    13.3";"    23.8"
"18 tot 65 jaar";"Waarde";"2022";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"    12.5";"    21.8"
"18 tot 65 jaar";"Waarde";"2022";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"    14.4";"    25.2"
"18 tot 65 jaar";"Waarde";"2022";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"    13.0";"    23.6"
"18 tot 65 jaar";"Waarde";"2022";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"    13.1";"    25.5"
"18 tot 65 jaar";"Waarde";"2022";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"    12.8";"    24.4"
"18 tot 65 jaar";"Waarde";"2022";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"    12.1";"    22.2"
"18 tot 65 jaar";"Waarde";"2022";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"    13.9";"    25.5"
"18 tot 65 jaar";"Waarde";"2022";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"    11.7";"    22.1"
"18 tot 65 jaar";"Waarde";"2022";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"    11.5";"    21.9"
"18 tot 65 jaar";"Waarde";"2022";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"    15.2";"    30.5"
"18 tot 65 jaar";"Waarde";"2022";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"    16.7";"    33.0"
"18 tot 65 jaar";"Waarde";"2022";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"    12.4";"    23.4"
"18 tot 65 jaar";"Waarde";"2022";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"    14.2";"    27.7"
"18 tot 65 jaar";"Waarde";"2022";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"    13.8";"    26.9"
"18 tot 65 jaar";"Waarde";"2022";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"    13.2";"    25.1"
"18 tot 65 jaar";"Waarde";"2022";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"    15.1";"    28.7"
"18 tot 65 jaar";"Waarde";"2022";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"    13.2";"    25.3"
