"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 jaar of ouder";"Waarde";"2020";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     9.4";"    24.5"
"18 jaar of ouder";"Waarde";"2020";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     8.8";"    26.1"
"18 jaar of ouder";"Waarde";"2020";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     8.2";"    24.5"
"18 jaar of ouder";"Waarde";"2020";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     9.4";"    27.8"
"18 jaar of ouder";"Waarde";"2020";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     9.2";"    27.1"
"18 jaar of ouder";"Waarde";"2020";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     8.1";"    23.0"
"18 jaar of ouder";"Waarde";"2020";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     8.8";"    25.9"
"18 jaar of ouder";"Waarde";"2020";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     8.1";"    23.5"
"18 jaar of ouder";"Waarde";"2020";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     8.1";"    23.2"
"18 jaar of ouder";"Waarde";"2020";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     8.6";"    26.2"
"18 jaar of ouder";"Waarde";"2020";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     7.9";"    22.1"
"18 jaar of ouder";"Waarde";"2020";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     8.0";"    23.3"
"18 jaar of ouder";"Waarde";"2020";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     8.3";"    24.1"
"18 jaar of ouder";"Waarde";"2020";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     7.9";"    22.9"
"18 jaar of ouder";"Waarde";"2020";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     8.1";"    24.1"
"18 jaar of ouder";"Waarde";"2020";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     5.7";"    16.2"
"18 jaar of ouder";"Waarde";"2020";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     5.1";"    14.7"
"18 jaar of ouder";"Waarde";"2020";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     6.1";"    17.3"
"18 jaar of ouder";"Waarde";"2020";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     5.9";"    16.5"
"18 jaar of ouder";"Waarde";"2020";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     5.8";"    16.5"
"18 jaar of ouder";"Waarde";"2020";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     6.1";"    16.9"
"18 jaar of ouder";"Waarde";"2020";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"     5.9";"    16.4"
"18 jaar of ouder";"Waarde";"2020";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"     6.2";"    16.1"
"18 jaar of ouder";"Waarde";"2020";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"     5.4";"    14.8"
"18 jaar of ouder";"Waarde";"2020";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"     5.7";"    15.3"
"18 jaar of ouder";"Waarde";"2020";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"     7.2";"    21.0"
"18 jaar of ouder";"Waarde";"2020";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"     9.0";"    26.4"
"18 jaar of ouder";"Waarde";"2020";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"     5.8";"    16.2"
"18 jaar of ouder";"Waarde";"2020";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"     7.4";"    21.3"
"18 jaar of ouder";"Waarde";"2020";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"     6.9";"    19.2"
"18 jaar of ouder";"Waarde";"2020";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"     6.8";"    18.4"
"18 jaar of ouder";"Waarde";"2020";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"     7.8";"    22.9"
"18 jaar of ouder";"Waarde";"2020";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"     7.1";"    20.2"
"18 jaar of ouder";"Waarde";"2020";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"     8.4";"    25.5"
"18 jaar of ouder";"Waarde";"2020";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"     7.4";"    20.2"
"18 jaar of ouder";"Waarde";"2020";"Valkenburg";"Amsterdam                               ";"Buurt     ";"BU03630406          ";"     6.7";"    18.4"
"18 jaar of ouder";"Waarde";"2020";"Zuiderkerkbuurt";"Amsterdam                               ";"Buurt     ";"BU03630407          ";"     7.4";"    22.2"
"18 jaar of ouder";"Waarde";"2020";"Waterloopleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630408          ";"     7.5";"    21.1"
"18 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"WK036305            ";"     7.5";"    21.6"
"18 jaar of ouder";"Waarde";"2020";"Westerdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630500          ";"     6.5";"    17.3"
"18 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03630501          ";"     7.1";"    20.9"
"18 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt West";"Amsterdam                               ";"Buurt     ";"BU03630502          ";"     8.1";"    23.7"
"18 jaar of ouder";"Waarde";"2020";"Westelijke eilanden";"Amsterdam                               ";"Buurt     ";"BU03630503          ";"     7.3";"    21.6"
"18 jaar of ouder";"Waarde";"2020";"Planciusbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630505          ";"     9.1";"    26.7"
"18 jaar of ouder";"Waarde";"2020";"Planciusbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630506          ";"    11.4";"    32.8"
"18 jaar of ouder";"Waarde";"2020";"Jordaan";"Amsterdam                               ";"Wijk      ";"WK036306            ";"     7.9";"    22.6"
"18 jaar of ouder";"Waarde";"2020";"Driehoekbuurt";"Amsterdam                               ";"Buurt     ";"BU03630600          ";"     8.3";"    23.9"
"18 jaar of ouder";"Waarde";"2020";"Bloemgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630602          ";"     7.1";"    19.9"
"18 jaar of ouder";"Waarde";"2020";"Marnixbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630603          ";"     9.4";"    26.4"
"18 jaar of ouder";"Waarde";"2020";"Zaagpoortbuurt";"Amsterdam                               ";"Buurt     ";"BU03630604          ";"    10.8";"    30.4"
"18 jaar of ouder";"Waarde";"2020";"Marnixbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03630605          ";"     6.8";"    19.9"
"18 jaar of ouder";"Waarde";"2020";"Elandsgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630606          ";"     7.6";"    21.7"
"18 jaar of ouder";"Waarde";"2020";"Passeerdersgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630607          ";"     7.5";"    20.9"
"18 jaar of ouder";"Waarde";"2020";"Groenmarktkadebuurt";"Amsterdam                               ";"Buurt     ";"BU03630608          ";"     7.8";"    22.0"
"18 jaar of ouder";"Waarde";"2020";"Marnixbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630609          ";"     8.6";"    21.5"
"18 jaar of ouder";"Waarde";"2020";"Anjeliersbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630610          ";"     7.1";"    21.6"
"18 jaar of ouder";"Waarde";"2020";"Anjeliersbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630611          ";"     7.6";"    22.6"
"18 jaar of ouder";"Waarde";"2020";"De Weteringschans";"Amsterdam                               ";"Wijk      ";"WK036307            ";"     6.5";"    17.9"
"18 jaar of ouder";"Waarde";"2020";"Leidsebuurt Noordwest";"Amsterdam                               ";"Buurt     ";"BU03630700          ";"     7.8";"    21.4"
"18 jaar of ouder";"Waarde";"2020";"Leidsebuurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03630701          ";"     7.9";"    23.0"
"18 jaar of ouder";"Waarde";"2020";"Leidsebuurt Noordoost";"Amsterdam                               ";"Buurt     ";"BU03630702          ";"     7.7";"    21.9"
"18 jaar of ouder";"Waarde";"2020";"Leidsebuurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03630703          ";"     7.1";"    19.4"
"18 jaar of ouder";"Waarde";"2020";"Weteringbuurt";"Amsterdam                               ";"Buurt     ";"BU03630704          ";"     6.5";"    17.7"
"18 jaar of ouder";"Waarde";"2020";"Den Texbuurt";"Amsterdam                               ";"Buurt     ";"BU03630705          ";"     5.6";"    15.6"
"18 jaar of ouder";"Waarde";"2020";"Utrechtsebuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630706          ";"     6.2";"    17.0"
"18 jaar of ouder";"Waarde";"2020";"Frederikspleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630707          ";"     5.8";"    15.1"
"18 jaar of ouder";"Waarde";"2020";"Weesperbuurt/Plantage";"Amsterdam                               ";"Wijk      ";"WK036308            ";"     7.0";"    19.5"
"18 jaar of ouder";"Waarde";"2020";"Weesperbuurt";"Amsterdam                               ";"Buurt     ";"BU03630800          ";"     7.2";"    20.3"
"18 jaar of ouder";"Waarde";"2020";"Sarphatistrook";"Amsterdam                               ";"Buurt     ";"BU03630801          ";"     7.7";"    21.6"
"18 jaar of ouder";"Waarde";"2020";"de Plantage";"Amsterdam                               ";"Buurt     ";"BU03630803          ";"     6.0";"    15.9"
"18 jaar of ouder";"Waarde";"2020";"Alexanderplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630804          ";"     6.4";"    18.6"
"18 jaar of ouder";"Waarde";"2020";"Oostelijke Eilanden/Kadijken";"Amsterdam                               ";"Wijk      ";"WK036309            ";"     8.7";"    24.1"
"18 jaar of ouder";"Waarde";"2020";"Marine-Etablissement";"Amsterdam                               ";"Buurt     ";"BU03630900          ";"     4.4";"    15.0"
"18 jaar of ouder";"Waarde";"2020";"Kattenburg";"Amsterdam                               ";"Buurt     ";"BU03630901          ";"     9.4";"    26.2"
"18 jaar of ouder";"Waarde";"2020";"Wittenburg";"Amsterdam                               ";"Buurt     ";"BU03630902          ";"     9.3";"    26.0"
"18 jaar of ouder";"Waarde";"2020";"Oostenburg";"Amsterdam                               ";"Buurt     ";"BU03630903          ";"     9.7";"    25.8"
"18 jaar of ouder";"Waarde";"2020";"Czaar Peterbuurt";"Amsterdam                               ";"Buurt     ";"BU03630904          ";"    10.3";"    27.8"
"18 jaar of ouder";"Waarde";"2020";"Het Funen";"Amsterdam                               ";"Buurt     ";"BU03630905          ";"     6.5";"    17.2"
"18 jaar of ouder";"Waarde";"2020";"Kazernebuurt";"Amsterdam                               ";"Buurt     ";"BU03630907          ";"     8.7";"    24.4"
"18 jaar of ouder";"Waarde";"2020";"Kadijken";"Amsterdam                               ";"Buurt     ";"BU03630908          ";"     7.1";"    20.3"
"18 jaar of ouder";"Waarde";"2020";"Westelijk Havengebied";"Amsterdam                               ";"Wijk      ";"WK036310            ";"     8.4";"    22.3"
"18 jaar of ouder";"Waarde";"2020";"Coenhaven/Mercuriushaven";"Amsterdam                               ";"Buurt     ";"BU03631000          ";"     9.3";"    19.4"
"18 jaar of ouder";"Waarde";"2020";"Alfa-driehoek";"Amsterdam                               ";"Buurt     ";"BU03631001          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Petroleumhaven";"Amsterdam                               ";"Buurt     ";"BU03631002          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Westhaven Noord";"Amsterdam                               ";"Buurt     ";"BU03631003          ";"     6.8";"    21.3"
"18 jaar of ouder";"Waarde";"2020";"Vervoerscentrum";"Amsterdam                               ";"Buurt     ";"BU03631004          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Amerikahaven";"Amsterdam                               ";"Buurt     ";"BU03631005          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Afrikahaven";"Amsterdam                               ";"Buurt     ";"BU03631006          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Westhaven Zuid";"Amsterdam                               ";"Buurt     ";"BU03631007          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Bedrijventerrein Sloterdijk";"Amsterdam                               ";"Wijk      ";"WK036311            ";"    13.8";"    31.3"
"18 jaar of ouder";"Waarde";"2020";"Sloterdijk II";"Amsterdam                               ";"Buurt     ";"BU03631100          ";"    10.3";"    27.7"
"18 jaar of ouder";"Waarde";"2020";"Sloterdijk III Oost";"Amsterdam                               ";"Buurt     ";"BU03631102          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Sloterdijk III West";"Amsterdam                               ";"Buurt     ";"BU03631103          ";"    15.4";"    35.6"
"18 jaar of ouder";"Waarde";"2020";"De Heining";"Amsterdam                               ";"Buurt     ";"BU03631104          ";"     5.0";"    24.3"
"18 jaar of ouder";"Waarde";"2020";"Teleport";"Amsterdam                               ";"Buurt     ";"BU03631105          ";"    14.0";"    31.0"
"18 jaar of ouder";"Waarde";"2020";"Bretten Oost";"Amsterdam                               ";"Buurt     ";"BU03631107          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Bretten West";"Amsterdam                               ";"Buurt     ";"BU03631109          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Houthavens";"Amsterdam                               ";"Wijk      ";"WK036312            ";"     5.2";"    12.2"
"18 jaar of ouder";"Waarde";"2020";"Houthavens West";"Amsterdam                               ";"Buurt     ";"BU03631200          ";"     5.1";"    11.3"
"18 jaar of ouder";"Waarde";"2020";"Houthavens Oost";"Amsterdam                               ";"Buurt     ";"BU03631201          ";"     5.6";"    15.8"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammer- en Zeeheldenbuurt";"Amsterdam                               ";"Wijk      ";"WK036313            ";"    10.6";"    28.1"
"18 jaar of ouder";"Waarde";"2020";"Zeeheldenbuurt";"Amsterdam                               ";"Buurt     ";"BU03631300          ";"     9.7";"    25.4"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammerbuurt Noordoost";"Amsterdam                               ";"Buurt     ";"BU03631301          ";"    11.6";"    31.0"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammerbuurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03631302          ";"     9.6";"    26.6"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammerbuurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03631303          ";"     9.3";"    24.9"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammerbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03631304          ";"    11.0";"    29.0"
"18 jaar of ouder";"Waarde";"2020";"Spaarndammerbuurt Noordwest";"Amsterdam                               ";"Buurt     ";"BU03631305          ";"    11.5";"    29.2"
"18 jaar of ouder";"Waarde";"2020";"Westergasfabriek";"Amsterdam                               ";"Buurt     ";"BU03631306          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Overbraker Binnenpolder";"Amsterdam                               ";"Buurt     ";"BU03631307          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2020";"Staatsliedenbuurt";"Amsterdam                               ";"Wijk      ";"WK036314            ";"     9.4";"    25.6"
"18 jaar of ouder";"Waarde";"2020";"De Wittenbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03631400          ";"     9.2";"    25.7"
