"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2020";"Lootsbuurt";"Amsterdam                               ";"Buurt     ";"BU03631902          ";"     8.9";"    24.7"
"65 jaar of ouder";"Waarde";"2020";"Helmersbuurt";"Amsterdam                               ";"Wijk      ";"WK036320            ";"     4.8";"    13.5"
"65 jaar of ouder";"Waarde";"2020";"Helmersbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03632000          ";"     3.6";"     9.2"
"65 jaar of ouder";"Waarde";"2020";"WG-terrein";"Amsterdam                               ";"Buurt     ";"BU03632001          ";"     5.3";"    14.4"
"65 jaar of ouder";"Waarde";"2020";"Cremerbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03632002          ";"     5.4";"    17.6"
"65 jaar of ouder";"Waarde";"2020";"Overtoomse Sluis";"Amsterdam                               ";"Wijk      ";"WK036321            ";"     5.4";"    16.2"
"65 jaar of ouder";"Waarde";"2020";"Cremerbuurt West";"Amsterdam                               ";"Buurt     ";"BU03632100          ";"     6.1";"    19.1"
"65 jaar of ouder";"Waarde";"2020";"Vondelparkbuurt West";"Amsterdam                               ";"Buurt     ";"BU03632101          ";"     4.4";"    11.6"
"65 jaar of ouder";"Waarde";"2020";"Vondelbuurt";"Amsterdam                               ";"Wijk      ";"WK036322            ";"     3.2";"     8.2"
"65 jaar of ouder";"Waarde";"2020";"Vondelparkbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03632200          ";"     2.0";"     4.5"
"65 jaar of ouder";"Waarde";"2020";"Vondelparkbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03632201          ";"     4.4";"    11.7"
"65 jaar of ouder";"Waarde";"2020";"Zuidas";"Amsterdam                               ";"Wijk      ";"WK036323            ";"     2.2";"     5.1"
"65 jaar of ouder";"Waarde";"2020";"Zuidas Noord";"Amsterdam                               ";"Buurt     ";"BU03632300          ";"     1.8";"     3.6"
"65 jaar of ouder";"Waarde";"2020";"RAI";"Amsterdam                               ";"Buurt     ";"BU03632301          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"VU-kwartier";"Amsterdam                               ";"Buurt     ";"BU03632302          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Zuidas Zuid";"Amsterdam                               ";"Buurt     ";"BU03632303          ";"     2.3";"     5.4"
"65 jaar of ouder";"Waarde";"2020";"Vivaldi";"Amsterdam                               ";"Buurt     ";"BU03632304          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Oude Pijp";"Amsterdam                               ";"Wijk      ";"WK036324            ";"     6.2";"    18.1"
"65 jaar of ouder";"Waarde";"2020";"Hemonybuurt";"Amsterdam                               ";"Buurt     ";"BU03632400          ";"     4.2";"    13.0"
"65 jaar of ouder";"Waarde";"2020";"Gerard Doubuurt";"Amsterdam                               ";"Buurt     ";"BU03632401          ";"     6.9";"    19.8"
"65 jaar of ouder";"Waarde";"2020";"Frans Halsbuurt";"Amsterdam                               ";"Buurt     ";"BU03632402          ";"     4.8";"    13.3"
"65 jaar of ouder";"Waarde";"2020";"Hercules Seghersbuurt";"Amsterdam                               ";"Buurt     ";"BU03632403          ";"     7.5";"    21.5"
"65 jaar of ouder";"Waarde";"2020";"Sarphatiparkbuurt";"Amsterdam                               ";"Buurt     ";"BU03632404          ";"     6.8";"    20.2"
"65 jaar of ouder";"Waarde";"2020";"Nieuwe Pijp";"Amsterdam                               ";"Wijk      ";"WK036325            ";"     7.1";"    19.5"
"65 jaar of ouder";"Waarde";"2020";"Willibrordusbuurt";"Amsterdam                               ";"Buurt     ";"BU03632500          ";"     7.5";"    19.5"
"65 jaar of ouder";"Waarde";"2020";"Van der Helstpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03632501          ";"     6.5";"    18.0"
"65 jaar of ouder";"Waarde";"2020";"Lizzy Ansinghbuurt";"Amsterdam                               ";"Buurt     ";"BU03632502          ";"     7.0";"    20.8"
"65 jaar of ouder";"Waarde";"2020";"Cornelis Troostbuurt";"Amsterdam                               ";"Buurt     ";"BU03632503          ";"     7.2";"    20.1"
