"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2022";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     8.9";"    25.0"
"65 jaar of ouder";"Waarde";"2022";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     6.4";"    19.8"
"65 jaar of ouder";"Waarde";"2022";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     6.3";"    20.1"
"65 jaar of ouder";"Waarde";"2022";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     8.1";"    25.1"
"65 jaar of ouder";"Waarde";"2022";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     6.3";"    18.2"
"65 jaar of ouder";"Waarde";"2022";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     4.1";"    11.5"
"65 jaar of ouder";"Waarde";"2022";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     5.9";"    20.7"
"65 jaar of ouder";"Waarde";"2022";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     5.8";"    17.3"
"65 jaar of ouder";"Waarde";"2022";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2022";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     5.2";"    14.7"
"65 jaar of ouder";"Waarde";"2022";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     5.8";"    21.3"
"65 jaar of ouder";"Waarde";"2022";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     3.9";"    10.2"
"65 jaar of ouder";"Waarde";"2022";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     5.3";"    15.1"
"65 jaar of ouder";"Waarde";"2022";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     6.2";"    20.9"
"65 jaar of ouder";"Waarde";"2022";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     7.7";"    21.5"
"65 jaar of ouder";"Waarde";"2022";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     6.8";"    18.2"
"65 jaar of ouder";"Waarde";"2022";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     3.4";"     7.5"
"65 jaar of ouder";"Waarde";"2022";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     3.3";"     7.2"
"65 jaar of ouder";"Waarde";"2022";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     3.1";"     6.5"
"65 jaar of ouder";"Waarde";"2022";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     4.0";"     9.2"
"65 jaar of ouder";"Waarde";"2022";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     2.7";"     6.5"
"65 jaar of ouder";"Waarde";"2022";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     3.6";"     8.2"
"65 jaar of ouder";"Waarde";"2022";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"     3.4";"     8.6"
"65 jaar of ouder";"Waarde";"2022";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"     2.7";"     4.9"
