"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"K-buurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03639407          ";"     9.5";"    44.8"
"18 tot 65 jaar";"Waarde";"2012";"Grunder/Koningshoef";"Amsterdam                               ";"Buurt     ";"BU03639408          ";"     9.5";"    44.5"
"18 tot 65 jaar";"Waarde";"2012";"G-buurt Oost";"Amsterdam                               ";"Buurt     ";"BU03639409          ";"     6.3";"    30.5"
"18 tot 65 jaar";"Waarde";"2012";"Kantershof";"Amsterdam                               ";"Buurt     ";"BU03639410          ";"     8.9";"    39.7"
"18 tot 65 jaar";"Waarde";"2012";"Gooise Kant";"Amsterdam                               ";"Buurt     ";"BU03639411          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"G-buurt Noord";"Amsterdam                               ";"Buurt     ";"BU03639412          ";"    17.3";"    60.0"
"18 tot 65 jaar";"Waarde";"2012";"Bijlmermuseum Zuid";"Amsterdam                               ";"Buurt     ";"BU03639413          ";"    15.7";"    56.9"
"18 tot 65 jaar";"Waarde";"2012";"Nellestein";"Amsterdam                               ";"Wijk      ";"WK036395            ";"     7.2";"    33.0"
"18 tot 65 jaar";"Waarde";"2012";"L-buurt";"Amsterdam                               ";"Buurt     ";"BU03639500          ";"     7.1";"    33.2"
"18 tot 65 jaar";"Waarde";"2012";"Gaasperpark";"Amsterdam                               ";"Buurt     ";"BU03639501          ";"     9.5";"    34.3"
"18 tot 65 jaar";"Waarde";"2012";"Gaasperplas";"Amsterdam                               ";"Buurt     ";"BU03639502          ";"     9.0";"    16.5"
"18 tot 65 jaar";"Waarde";"2012";"Holendrecht/Reigersbos";"Amsterdam                               ";"Wijk      ";"WK036396            ";"    11.3";"    45.4"
"18 tot 65 jaar";"Waarde";"2012";"Holendrecht West";"Amsterdam                               ";"Buurt     ";"BU03639600          ";"    15.6";"    58.7"
"18 tot 65 jaar";"Waarde";"2012";"Reigersbos Noord";"Amsterdam                               ";"Buurt     ";"BU03639601          ";"    14.1";"    54.4"
