"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 jaar of ouder";"Waarde";"2022";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"    15.1";"    31.7"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"    15.6";"    31.1"
"18 jaar of ouder";"Waarde";"2022";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"    14.7";"    29.9"
"18 jaar of ouder";"Waarde";"2022";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"    16.7";"    33.2"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"    16.4";"    32.3"
"18 jaar of ouder";"Waarde";"2022";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"    15.3";"    27.9"
"18 jaar of ouder";"Waarde";"2022";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"    14.4";"    30.2"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"    15.7";"    29.8"
"18 jaar of ouder";"Waarde";"2022";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2022";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"    15.6";"    29.7"
"18 jaar of ouder";"Waarde";"2022";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"    16.4";"    32.5"
"18 jaar of ouder";"Waarde";"2022";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"    16.0";"    28.7"
"18 jaar of ouder";"Waarde";"2022";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"    15.8";"    29.7"
"18 jaar of ouder";"Waarde";"2022";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"    15.3";"    29.3"
"18 jaar of ouder";"Waarde";"2022";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"    15.0";"    29.8"
"18 jaar of ouder";"Waarde";"2022";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"    15.0";"    29.5"
"18 jaar of ouder";"Waarde";"2022";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"    11.4";"    20.8"
"18 jaar of ouder";"Waarde";"2022";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"    10.3";"    18.3"
"18 jaar of ouder";"Waarde";"2022";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"    12.6";"    22.2"
"18 jaar of ouder";"Waarde";"2022";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"    11.5";"    21.1"
"18 jaar of ouder";"Waarde";"2022";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"    11.2";"    22.1"
"18 jaar of ouder";"Waarde";"2022";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"    11.4";"    22.0"
"18 jaar of ouder";"Waarde";"2022";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"    10.9";"    20.2"
"18 jaar of ouder";"Waarde";"2022";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"    11.8";"    21.7"
"18 jaar of ouder";"Waarde";"2022";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"    10.1";"    19.4"
"18 jaar of ouder";"Waarde";"2022";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"     9.9";"    19.2"
"18 jaar of ouder";"Waarde";"2022";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"    14.7";"    29.4"
"18 jaar of ouder";"Waarde";"2022";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"    16.5";"    32.7"
"18 jaar of ouder";"Waarde";"2022";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"    11.0";"    20.5"
"18 jaar of ouder";"Waarde";"2022";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"    12.5";"    25.8"
"18 jaar of ouder";"Waarde";"2022";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"    12.5";"    24.9"
"18 jaar of ouder";"Waarde";"2022";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"    11.9";"    22.8"
"18 jaar of ouder";"Waarde";"2022";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"    13.9";"    28.0"
"18 jaar of ouder";"Waarde";"2022";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"    11.9";"    24.0"
"18 jaar of ouder";"Waarde";"2022";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"    13.6";"    29.3"
"18 jaar of ouder";"Waarde";"2022";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"    12.7";"    25.1"
"18 jaar of ouder";"Waarde";"2022";"Valkenburg";"Amsterdam                               ";"Buurt     ";"BU03630406          ";"    11.3";"    23.7"
"18 jaar of ouder";"Waarde";"2022";"Zuiderkerkbuurt";"Amsterdam                               ";"Buurt     ";"BU03630407          ";"    12.3";"    26.4"
"18 jaar of ouder";"Waarde";"2022";"Waterloopleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630408          ";"    12.2";"    24.9"
"18 jaar of ouder";"Waarde";"2022";"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"WK036305            ";"    12.5";"    25.9"
"18 jaar of ouder";"Waarde";"2022";"Westerdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630500          ";"    10.8";"    22.0"
"18 jaar of ouder";"Waarde";"2022";"Haarlemmerbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03630501          ";"    12.9";"    25.5"
"18 jaar of ouder";"Waarde";"2022";"Haarlemmerbuurt West";"Amsterdam                               ";"Buurt     ";"BU03630502          ";"    13.7";"    28.7"
"18 jaar of ouder";"Waarde";"2022";"Westelijke eilanden";"Amsterdam                               ";"Buurt     ";"BU03630503          ";"    11.7";"    24.8"
"18 jaar of ouder";"Waarde";"2022";"Planciusbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630505          ";"    15.5";"    31.9"
"18 jaar of ouder";"Waarde";"2022";"Planciusbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630506          ";"    17.3";"    37.4"
"18 jaar of ouder";"Waarde";"2022";"Jordaan";"Amsterdam                               ";"Wijk      ";"WK036306            ";"    13.8";"    27.4"
"18 jaar of ouder";"Waarde";"2022";"Driehoekbuurt";"Amsterdam                               ";"Buurt     ";"BU03630600          ";"    14.2";"    28.4"
"18 jaar of ouder";"Waarde";"2022";"Bloemgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630602          ";"    13.3";"    25.2"
"18 jaar of ouder";"Waarde";"2022";"Marnixbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630603          ";"    15.1";"    31.4"
"18 jaar of ouder";"Waarde";"2022";"Zaagpoortbuurt";"Amsterdam                               ";"Buurt     ";"BU03630604          ";"    19.2";"    37.0"
"18 jaar of ouder";"Waarde";"2022";"Marnixbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03630605          ";"    12.4";"    24.4"
"18 jaar of ouder";"Waarde";"2022";"Elandsgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630606          ";"    13.4";"    26.8"
"18 jaar of ouder";"Waarde";"2022";"Passeerdersgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630607          ";"    12.4";"    24.5"
"18 jaar of ouder";"Waarde";"2022";"Groenmarktkadebuurt";"Amsterdam                               ";"Buurt     ";"BU03630608          ";"    15.0";"    26.6"
"18 jaar of ouder";"Waarde";"2022";"Marnixbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630609          ";"    13.9";"    28.1"
"18 jaar of ouder";"Waarde";"2022";"Anjeliersbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630610          ";"    12.7";"    25.1"
"18 jaar of ouder";"Waarde";"2022";"Anjeliersbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630611          ";"    13.4";"    27.2"
"18 jaar of ouder";"Waarde";"2022";"De Weteringschans";"Amsterdam                               ";"Wijk      ";"WK036307            ";"    11.9";"    23.3"
"18 jaar of ouder";"Waarde";"2022";"Leidsebuurt Noordwest";"Amsterdam                               ";"Buurt     ";"BU03630700          ";"    14.0";"    25.9"
"18 jaar of ouder";"Waarde";"2022";"Leidsebuurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03630701          ";"    15.5";"    33.3"
"18 jaar of ouder";"Waarde";"2022";"Leidsebuurt Noordoost";"Amsterdam                               ";"Buurt     ";"BU03630702          ";"    14.9";"    29.2"
"18 jaar of ouder";"Waarde";"2022";"Leidsebuurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03630703          ";"    12.5";"    24.7"
"18 jaar of ouder";"Waarde";"2022";"Weteringbuurt";"Amsterdam                               ";"Buurt     ";"BU03630704          ";"    11.7";"    22.9"
"18 jaar of ouder";"Waarde";"2022";"Den Texbuurt";"Amsterdam                               ";"Buurt     ";"BU03630705          ";"    10.3";"    20.9"
"18 jaar of ouder";"Waarde";"2022";"Utrechtsebuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630706          ";"    10.6";"    21.0"
"18 jaar of ouder";"Waarde";"2022";"Frederikspleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630707          ";"    10.3";"    19.8"
"18 jaar of ouder";"Waarde";"2022";"Weesperbuurt/Plantage";"Amsterdam                               ";"Wijk      ";"WK036308            ";"    11.7";"    23.5"
"18 jaar of ouder";"Waarde";"2022";"Weesperbuurt";"Amsterdam                               ";"Buurt     ";"BU03630800          ";"    12.4";"    25.5"
"18 jaar of ouder";"Waarde";"2022";"Sarphatistrook";"Amsterdam                               ";"Buurt     ";"BU03630801          ";"    13.1";"    26.5"
"18 jaar of ouder";"Waarde";"2022";"de Plantage";"Amsterdam                               ";"Buurt     ";"BU03630803          ";"     9.8";"    18.6"
"18 jaar of ouder";"Waarde";"2022";"Alexanderplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630804          ";"    10.9";"    21.1"
"18 jaar of ouder";"Waarde";"2022";"Oostelijke Eilanden/Kadijken";"Amsterdam                               ";"Wijk      ";"WK036309            ";"    13.6";"    29.0"
"18 jaar of ouder";"Waarde";"2022";"Marine-Etablissement";"Amsterdam                               ";"Buurt     ";"BU03630900          ";"     7.2";"    16.8"
"18 jaar of ouder";"Waarde";"2022";"Kattenburg";"Amsterdam                               ";"Buurt     ";"BU03630901          ";"    14.7";"    33.2"
"18 jaar of ouder";"Waarde";"2022";"Wittenburg";"Amsterdam                               ";"Buurt     ";"BU03630902          ";"    14.2";"    30.9"
"18 jaar of ouder";"Waarde";"2022";"Oostenburg";"Amsterdam                               ";"Buurt     ";"BU03630903          ";"    14.9";"    30.2"
"18 jaar of ouder";"Waarde";"2022";"Czaar Peterbuurt";"Amsterdam                               ";"Buurt     ";"BU03630904          ";"    15.7";"    33.0"
"18 jaar of ouder";"Waarde";"2022";"Het Funen";"Amsterdam                               ";"Buurt     ";"BU03630905          ";"    10.7";"    21.8"
"18 jaar of ouder";"Waarde";"2022";"Kazernebuurt";"Amsterdam                               ";"Buurt     ";"BU03630907          ";"    13.3";"    28.9"
"18 jaar of ouder";"Waarde";"2022";"Kadijken";"Amsterdam                               ";"Buurt     ";"BU03630908          ";"    11.3";"    24.3"
"18 jaar of ouder";"Waarde";"2022";"Westelijk Havengebied";"Amsterdam                               ";"Wijk      ";"WK036310            ";"    20.4";"    34.4"
"18 jaar of ouder";"Waarde";"2022";"Coenhaven/Mercuriushaven";"Amsterdam                               ";"Buurt     ";"BU03631000          ";"    20.7";"    34.6"
