"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2012";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     5.9";"    24.7"
"65 jaar of ouder";"Waarde";"2012";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     4.4";"    21.8"
"65 jaar of ouder";"Waarde";"2012";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     3.8";"    21.0"
"65 jaar of ouder";"Waarde";"2012";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     5.1";"    23.7"
"65 jaar of ouder";"Waarde";"2012";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     4.6";"    21.3"
"65 jaar of ouder";"Waarde";"2012";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     4.3";"    22.1"
"65 jaar of ouder";"Waarde";"2012";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     4.2";"    21.9"
"65 jaar of ouder";"Waarde";"2012";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     3.9";"    19.3"
"65 jaar of ouder";"Waarde";"2012";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2012";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     3.6";"    19.3"
"65 jaar of ouder";"Waarde";"2012";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     3.7";"    19.5"
"65 jaar of ouder";"Waarde";"2012";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     3.5";"    18.7"
"65 jaar of ouder";"Waarde";"2012";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     3.4";"    17.2"
"65 jaar of ouder";"Waarde";"2012";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     3.7";"    18.5"
"65 jaar of ouder";"Waarde";"2012";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     5.4";"    24.3"
"65 jaar of ouder";"Waarde";"2012";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     3.3";"    10.6"
"65 jaar of ouder";"Waarde";"2012";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     2.5";"     8.1"
"65 jaar of ouder";"Waarde";"2012";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     2.6";"     8.3"
"65 jaar of ouder";"Waarde";"2012";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     2.3";"     7.7"
"65 jaar of ouder";"Waarde";"2012";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     2.6";"     9.2"
"65 jaar of ouder";"Waarde";"2012";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     2.0";"     6.0"
"65 jaar of ouder";"Waarde";"2012";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     2.5";"     8.5"
