"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2016";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     9.3";"    29.7"
"18 tot 65 jaar";"Waarde";"2016";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     7.2";"    27.0"
"18 tot 65 jaar";"Waarde";"2016";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     7.1";"    25.7"
"18 tot 65 jaar";"Waarde";"2016";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     7.9";"    29.5"
"18 tot 65 jaar";"Waarde";"2016";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     7.2";"    27.5"
"18 tot 65 jaar";"Waarde";"2016";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     6.6";"    24.4"
"18 tot 65 jaar";"Waarde";"2016";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     7.0";"    26.9"
"18 tot 65 jaar";"Waarde";"2016";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     6.9";"    25.8"
"18 tot 65 jaar";"Waarde";"2016";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2016";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     7.4";"    26.5"
"18 tot 65 jaar";"Waarde";"2016";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     7.7";"    28.6"
"18 tot 65 jaar";"Waarde";"2016";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     6.7";"    24.8"
"18 tot 65 jaar";"Waarde";"2016";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     6.4";"    24.9"
