"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 jaar of ouder";"Waarde";"2016";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     9.1";"    28.8"
"18 jaar of ouder";"Waarde";"2016";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     7.1";"    26.2"
"18 jaar of ouder";"Waarde";"2016";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     6.9";"    25.0"
"18 jaar of ouder";"Waarde";"2016";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     7.9";"    29.0"
"18 jaar of ouder";"Waarde";"2016";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     7.0";"    26.5"
"18 jaar of ouder";"Waarde";"2016";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     6.4";"    23.6"
"18 jaar of ouder";"Waarde";"2016";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     6.7";"    26.0"
"18 jaar of ouder";"Waarde";"2016";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     6.7";"    25.0"
"18 jaar of ouder";"Waarde";"2016";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     7.1";"    25.7"
"18 jaar of ouder";"Waarde";"2016";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     7.6";"    27.9"
"18 jaar of ouder";"Waarde";"2016";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     6.4";"    23.7"
