"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2020";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"    10.0";"    25.9"
"18 tot 65 jaar";"Waarde";"2020";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     9.4";"    27.4"
"18 tot 65 jaar";"Waarde";"2020";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     8.5";"    25.4"
"18 tot 65 jaar";"Waarde";"2020";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     9.9";"    28.9"
"18 tot 65 jaar";"Waarde";"2020";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     9.8";"    28.8"
"18 tot 65 jaar";"Waarde";"2020";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     8.6";"    24.5"
"18 tot 65 jaar";"Waarde";"2020";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     9.5";"    27.7"
"18 tot 65 jaar";"Waarde";"2020";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     8.5";"    24.6"
"18 tot 65 jaar";"Waarde";"2020";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2020";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     8.4";"    24.3"
"18 tot 65 jaar";"Waarde";"2020";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     8.8";"    26.8"
"18 tot 65 jaar";"Waarde";"2020";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     8.4";"    23.5"
"18 tot 65 jaar";"Waarde";"2020";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     8.3";"    24.2"
"18 tot 65 jaar";"Waarde";"2020";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     8.8";"    25.1"
"18 tot 65 jaar";"Waarde";"2020";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     8.6";"    24.6"
"18 tot 65 jaar";"Waarde";"2020";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     8.4";"    24.9"
"18 tot 65 jaar";"Waarde";"2020";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     6.6";"    18.9"
"18 tot 65 jaar";"Waarde";"2020";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     6.0";"    17.6"
"18 tot 65 jaar";"Waarde";"2020";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     7.0";"    19.9"
"18 tot 65 jaar";"Waarde";"2020";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     6.6";"    18.8"
"18 tot 65 jaar";"Waarde";"2020";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     6.8";"    19.7"
"18 tot 65 jaar";"Waarde";"2020";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     6.8";"    19.1"
"18 tot 65 jaar";"Waarde";"2020";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"     6.6";"    18.4"
"18 tot 65 jaar";"Waarde";"2020";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"     7.4";"    19.6"
"18 tot 65 jaar";"Waarde";"2020";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"     6.0";"    17.2"
"18 tot 65 jaar";"Waarde";"2020";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"     6.5";"    17.7"
"18 tot 65 jaar";"Waarde";"2020";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"     7.6";"    22.1"
"18 tot 65 jaar";"Waarde";"2020";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"     9.1";"    26.8"
"18 tot 65 jaar";"Waarde";"2020";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"     6.5";"    18.5"
"18 tot 65 jaar";"Waarde";"2020";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"     8.2";"    23.3"
"18 tot 65 jaar";"Waarde";"2020";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"     7.6";"    21.2"
"18 tot 65 jaar";"Waarde";"2020";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"     7.4";"    20.7"
"18 tot 65 jaar";"Waarde";"2020";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"     8.1";"    23.6"
"18 tot 65 jaar";"Waarde";"2020";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"     7.7";"    21.7"
"18 tot 65 jaar";"Waarde";"2020";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"     9.5";"    28.5"
"18 tot 65 jaar";"Waarde";"2020";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"     8.1";"    21.9"
"18 tot 65 jaar";"Waarde";"2020";"Valkenburg";"Amsterdam                               ";"Buurt     ";"BU03630406          ";"     7.4";"    20.2"
"18 tot 65 jaar";"Waarde";"2020";"Zuiderkerkbuurt";"Amsterdam                               ";"Buurt     ";"BU03630407          ";"     8.3";"    24.5"
"18 tot 65 jaar";"Waarde";"2020";"Waterloopleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630408          ";"     8.4";"    23.6"
"18 tot 65 jaar";"Waarde";"2020";"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"WK036305            ";"     8.2";"    23.8"
