"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 jaar of ouder";"Waarde";"2012";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     8.6";"    34.5"
"18 jaar of ouder";"Waarde";"2012";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     6.2";"    32.5"
"18 jaar of ouder";"Waarde";"2012";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     6.1";"    31.6"
"18 jaar of ouder";"Waarde";"2012";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     6.8";"    36.1"
"18 jaar of ouder";"Waarde";"2012";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     6.3";"    32.8"
"18 jaar of ouder";"Waarde";"2012";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     6.0";"    31.2"
"18 jaar of ouder";"Waarde";"2012";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     5.9";"    30.9"
"18 jaar of ouder";"Waarde";"2012";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     6.2";"    31.8"
"18 jaar of ouder";"Waarde";"2012";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 jaar of ouder";"Waarde";"2012";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     6.0";"    31.7"
"18 jaar of ouder";"Waarde";"2012";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     7.1";"    36.3"
"18 jaar of ouder";"Waarde";"2012";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     6.1";"    29.8"
"18 jaar of ouder";"Waarde";"2012";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     5.8";"    30.2"
"18 jaar of ouder";"Waarde";"2012";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     6.3";"    31.8"
