"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2016";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     8.1";"    23.9"
"65 jaar of ouder";"Waarde";"2016";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     5.6";"    18.8"
"65 jaar of ouder";"Waarde";"2016";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     4.5";"    15.8"
"65 jaar of ouder";"Waarde";"2016";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     8.5";"    23.7"
"65 jaar of ouder";"Waarde";"2016";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     5.5";"    19.0"
"65 jaar of ouder";"Waarde";"2016";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     3.2";"    10.4"
"65 jaar of ouder";"Waarde";"2016";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     5.1";"    19.5"
"65 jaar of ouder";"Waarde";"2016";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     4.7";"    16.7"
"65 jaar of ouder";"Waarde";"2016";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2016";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     4.2";"    16.4"
"65 jaar of ouder";"Waarde";"2016";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     4.4";"    13.9"
"65 jaar of ouder";"Waarde";"2016";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     3.7";"    13.2"
"65 jaar of ouder";"Waarde";"2016";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     3.8";"    12.5"
"65 jaar of ouder";"Waarde";"2016";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     4.7";"    16.5"
"65 jaar of ouder";"Waarde";"2016";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     6.7";"    24.2"
"65 jaar of ouder";"Waarde";"2016";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     3.6";"    13.4"
